,School Name,Coordinates,Address,School Type,latitude,longitude
251,جامع الشيخ عبد الله بن عبد العزيز الراجحي رحمه الله بشبرا,"'24.5802881', '46.6755398'","3850 Masafi, Shubra, Riyadh 12798",Mosque,24.5802881,46.6755398
252,The Southern Shubrah's Mosque,"'24.5828171', '46.6839338'","HMMM+4MH, Towaiq Mountain, Shubra, Riyadh 12797",Mosque,24.5828171,46.6839338
253,جامع الإيمان,"'24.5719066', '46.6602029'","HMC6+Q66, Daws, Shubra, Riyadh 12988",Mosque,24.5719066,46.6602029
254,جامع الإيمان,"'24.5719066', '46.6602029'","HMC6+Q66, Daws, Shubra, Riyadh 12988",Mosque,24.5719066,46.6602029
255,Andalus Mosque,"'24.5691461', '46.6575656'","HM95+M45, As Sulailan, Shubra, Riyadh 12988",Mosque,24.5691461,46.6575656
256,Prince Hasan Bin Abdullah Mosque,"'24.5721479', '46.6562039'","HMC4+VJ2, Shubra, Riyadh 12988",Mosque,24.5721479,46.6562039
257,Mosque of Ibn Said,"'24.5693141', '46.6521658'","Ibrahim Al Ajluni, Shubra, Riyadh 12989",Mosque,24.5693141,46.6521658
258,جامع الفاخرية,"'24.6448779', '46.6838034'","JMVM+XJ5, Al Fakhiriyyah, Riyadh 12736",Mosque,24.6448779,46.6838034
259,مسجد الأمير بندر عبدالله آل فرحان آل سعود ، عليشة ، حي الفاخرية,"'24.6386164', '46.6744096'","6492 عبدالجبار بن حسن، الفاخرية، الرياض 12737 2519،, Riyadh 11461",Mosque,24.6386164,46.6744096
260,Mosque,"'24.6439573', '46.6899392'","4034 Al Muhajir Ibn Abdullah, Al Fakhiriyyah, Riyadh 12736",Mosque,24.6439573,46.6899392
261,مسجد الشيخ محمد بن مرشد الزير رحمه الله,"'24.5650997', '46.6458522'","HJ8W+2FJ, Ali Al Hashimi, Shubra, Riyadh 12989",Mosque,24.5650997,46.6458522
262,مسجد الشيخ محمد بن مرشد الزير رحمه الله,"'24.5650997', '46.6458522'","HJ8W+2FJ, Ali Al Hashimi, Shubra, Riyadh 12989",Mosque,24.5650997,46.6458522
263,مسجد,"'24.556319', '46.6580313'","6868 Abi Sufyan Ibn Al Harith، حي نمار، 2278, Riyadh 14963",Mosque,24.556319,46.6580313
264,Imam Abdullah bin Saud Mosque,"'24.5698464', '46.6449602'","HJ9W+W4J, Urwah Ibn Udhainah, Az Zahrah, Riyadh 12987",Mosque,24.5698464,46.6449602
265,Al Salem Mosque,"'24.5690789', '46.6661778'","HM98+JHQ, Aishah Bint Abi Bakr, Namar, Riyadh 14963",Mosque,24.5690789,46.6661778
266,مسجد حمد الموسى بالعريجاء الأوسط,"'24.6185887', '46.6542122'","4646 Yazid Ibn Abi Sufyan, Al Uraija Al Wusta, Riyadh 12767",Mosque,24.6185887,46.6542122
267,مسجد عائشة بنت أبي بكر العريجا الأوسط,"'24.6166968', '46.6348617'","2731 Abi Saleh Al Jaili, 7816, Al Uraija Al Wusta, Riyadh 12765",Mosque,24.6166968,46.6348617
268,مسجد العريجاء القديمة,"'24.6263229', '46.6585645'","JMG5+GGH, Al Uraija, Riyadh 12756",Mosque,24.6263229,46.6585645
269,جامع الفصام,"'24.5837655', '46.6067521'","3222, Aluraija Al Gharbiyah، 6770, Riyadh 12978",Mosque,24.5837655,46.6067521
270,جامع الفصام,"'24.5837655', '46.6067521'","3222, Aluraija Al Gharbiyah، 6770, Riyadh 12978",Mosque,24.5837655,46.6067521
271,Um Hzlol Mosque,"'24.5831817', '46.6107962'","HJM6+7CH, Muhammad Al Utabi, Aluraija Al Gharbiyah, Riyadh 12978",Mosque,24.5831817,46.6107962
272,Prince Khalid Ibn Saud Mosque,"'24.5879846', '46.6273266'","Prince Khalid Ibn Saud Mosque, Ibn Sharaf An Nawawi, Dhahrat Al Badi'ah, Riyadh 12982",Mosque,24.5879846,46.6273266
273,جامع أبي عبيدة عامر بن الجراح -رضي الله عنه-,"'24.5818414', '46.6028569'","HJJ3+P7J, Muhammad Al Yazidi, Aluraija Al Gharbiyah, Riyadh 12978",Mosque,24.5818414,46.6028569
274,Prince Mohammed Bin Abdulaziz Mosque,"'24.6928244', '46.6663852'","MMV8+4MF, Ashiqar, Al Mathar Ash Shamali, Riyadh 12332",Mosque,24.6928244,46.6663852
275,جامع أبي عبيدة عامر بن الجراح -رضي الله عنه-,"'24.5818414', '46.6028569'","HJJ3+P7J, Muhammad Al Yazidi, Aluraija Al Gharbiyah, Riyadh 12978",Mosque,24.5818414,46.6028569
276,Ibn Taymiyyah Mosque,"'24.577962', '46.609141'","7913 Umar Mufti, 2404, As Suwaidi Al Gharabi, Riyadh 12992",Mosque,24.577962,46.609141
277,مسجد الشيخ عبدالله الرشيد رحمه الله,"'24.6723289', '46.6678667'","4529 Ar Radadi, Al Maather, Riyadh 12721",Mosque,24.6723289,46.6678667
278,Sheikh Mohammed Bin Abdulaziz Alrajhi Mosque,"'24.6384707', '46.6647868'","JMQ8+92P, Ibn Al Zorieqan, Ar Rafiah, Riyadh 12753",Mosque,24.6384707,46.6647868
279,مسجد الشيخ عبدالله الرشيد رحمه الله,"'24.6723289', '46.6678667'","4529 Ar Radadi, Al Maather, Riyadh 12721",Mosque,24.6723289,46.6678667
280,Mujahid bin Jabr al-Makki Mosque,"'24.6459494', '46.6605476'","JMW6+98H, Ar Rafiah, Riyadh 12751",Mosque,24.6459494,46.6605476
281,مسجد الرفيعة,"'24.6484983', '46.668348'","الرفيعة،، 8583، 4505-4593 محمد الجياني،, Riyadh 12751",Mosque,24.6484983,46.668348
282,مسجد الرفيعة,"'24.6484982', '46.668348'","الرفيعة،، 8583، 4505-4593 محمد الجياني،, Riyadh 12751",Mosque,24.6484982,46.668348
283,مسجد بن غصون,"'24.6472179', '46.6687416'","4526 Abdul Rahman Ibn Salim, Ar Rafiah، 8427, Riyadh 12751",Mosque,24.6472179,46.6687416
284,Mujahid bin Jabr al-Makki Mosque,"'24.6459494', '46.6605476'","JMW6+98H, Ar Rafiah, Riyadh 12751",Mosque,24.6459494,46.6605476
