الحي,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean
الحمراء,2290.840857467348,3370.656761518744,4833.161600615622,5656.0,6875.273964923759,4685.876050602947
الخالدية,1280.0,1405.4054054054054,1907.0,2657.248,3364.923076923077,2185.611775763255
الخزامى,864.05811,3812.312142857143,7478.137384850021,7614.985228514471,8226.551123636364,5812.985744205599
الخليج,1426.43501984127,2182.73805,2958.579881656805,3900.0,5054.866666666667,3139.396659221637
الخير,998.7523199999999,1110.3333,1261.0,1459.0,1640.0,1320.9569488085845
الدار البيضاء,800.0,1400.0,2164.6341463414637,2900.0,3517.1808,2183.623412386196
الدرعية,2481.389578163772,2481.389578163772,2481.389578163772,2481.389578163772,2481.389578163772,2481.389578163772
الدريهمية,1719.37142,2063.5246727089625,2778.0296441210703,3399.026988062972,4227.9888035828535,2879.0631023763167
الدفاع,1108.9917,1108.9917,1108.9917,1108.9917,1108.9917,1108.9917
الدوبية,1098.2505028793707,1246.1197339246119,2035.0,3135.1288469561314,4744.452488687784,2689.1221608967126
الديرة,1232.83626,1732.25,1928.31835,4748.407407407407,13224.563829795923,5655.832993738678
الرائد,4245.0,6916.666666666667,9116.523044783913,10255.371454676755,12349.5,8514.707085524002
الرابية,450.0,500.0,560.5921808302809,627.25,724.6376811594203,582.0684963832674
الراية,322.2222,322.2222,322.2222,322.2222,322.2222,322.2222
الربوة,2043.6917846486783,2996.25,3851.5623767891684,4630.5,6406.0,3941.0892569718167
الربيع,3596.4102691924227,4451.690406162465,6964.7624,7702.6866605311825,9104.63241,6397.7720279880905
الرحمانية,3731.1428,5000.0,5850.0,10183.8919,16295.032040000004,9123.831478861986
الرسالة,275.0,275.0,275.0,275.0,275.0,275.0
الرفيعة,2086.0,2604.957125,3250.0,4979.86276849642,9508.799999999997,4352.331329847078
الرمال,2000.0,2380.2340643969933,2800.0,4007.4947402718303,5228.169787593786,3231.407491320756
الروابى,2246.0564043216896,3233.1514500000003,4000.0,5581.56688650057,7275.1,4517.278683150358
الروضة,2063.28205,3205.5555555555557,4000.0,5459.412965570204,6516.214468221016,4427.486957760855
