,Unnamed: 0.1,Unnamed: 0,School Name,Coordinates,Address,School Type,latitude,longitude,District,Address3
11,,11,مدارس منارات قرطبة الاهلية,,"Al Qalam, Al Munsiyah, Riyadh 13246",School,24.8183589,46.7624173, Al Munsiyah, Al Munsiyah
12,,12,Khadija elementary girl Khuwaylid,,"8195 Wabra, 3839, Qurtubah, Riyadh 13245",School,24.8202818,46.7497558, 3839, 3839
13,,13,Amjad Qurtoba Private Schools,,"Rayah, Qurtubah, Qurtubah, Riyadh 13245",School,24.8061628,46.7449004, Qurtubah, Qurtubah
14,,14,مدارس المتقدمة الأهلية - حي قرطبة,,"Ibn Abi Zuhayr, Qurtubah, Riyadh 13245",School,24.8105888,46.745913, Qurtubah, Qurtubah
15,,15,مدرستي,,"Qurtubah، 8195 وبره، 3839, Riyadh 13245",Elementary school,24.8202365,46.7497716, Riyadh 13245, Riyadh 13245
16,,16,مدرسة سهيل بن ابي صلح,,"RP7Q+V6X، قرطبة، شارع وحد حي،, Riyadh",School,24.8147367,46.7378187, Riyadh, Riyadh
17,,17,مدارس مناهل قرطبه,,"16 St, Al Munsiyah, Riyadh 13246",School,24.8105538,46.7585789, Al Munsiyah, Al Munsiyah
18,,18,SCHOOL,,"Qurtubah, 3434 Rayah, 6709, Riyadh 13245",School,24.8064445,46.7456276, 3434 Rayah, 3434 Rayah
19,,19,العمل مدارس امجاد قرطبة,,"RP8J+JRJ, Qurtubah, Riyadh 13245",Primary school,24.8165838,46.7317033, Qurtubah, Qurtubah
20,,20,Al-Mughirah Ibn Hakim Primary School,,"RP9H+VH9، الشديدة, Qurtubah, Riyadh 13247",Elementary school,24.8196626,46.7286811, Qurtubah, Qurtubah
21,,21,Al-Mughirah Ibn Hakim Primary School,,"RP9H+VH9، الشديدة, Qurtubah, Riyadh 13247",Elementary school,24.8196678,46.7286811, Qurtubah, Qurtubah
22,,22,مدارس البيان الأهلية بالرياض - الادارة العامة,,"Salmah Ibn Abi Salmah, Ar Rabwah, Riyadh 12813",School,24.6986702,46.7390169, Ar Rabwah, Ar Rabwah
23,,23,مدارس مداد البيان الاهلية,,"4062 Al Mina, Al Nadwa, Riyadh 14813",School,24.8057501,46.8749875, Al Nadwa, Al Nadwa
24,,24,المدرسة التمهيدية بيان,,"PM7G+C4F, Al Olaya, Riyadh 12251",School,24.7135517,46.674998, Al Olaya, Al Olaya
25,,25,مدرسة سهيل بن ابي صلح,,"RP7Q+V6X، قرطبة، شارع وحد حي،, Riyadh",School,24.8147367,46.7378187, Riyadh, Riyadh
26,,26,مدرسة دار البيان النسائية لتحفيظ القرآن الكريم,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6751571,46.7777239, Al Safa, Al Safa
27,,27,Al Kafi Academy,,"MQGH+26W, Al Safa, Riyadh 12853",School,24.6751571,46.7777239, Al Safa, Al Safa
28,,28,School 382 Elementary,,"3727, Riyadh 14251",School,24.6788736,46.7929957, Riyadh 14251, Riyadh 14251
29,,29,مدارس مهارات التعليم العالمية,,"Prince Mouteeb Ibn Abd Al Aziz, Ar Rabwah, Riyadh 12839",School,24.6814521,46.768435, Ar Rabwah, Ar Rabwah
30,,30,مدرسة حي مشرفة الإبتدائية,,"MPHV+HPP, Khadijah Bint Al Hafidh, Jarir, Riyadh 12833",Elementary school,24.6789635,46.7440206, Khadijah Bint Al Hafidh, Khadijah Bint Al Hafidh
31,,31,رياض الجنة لتحفيظ القرآن الكريم بحي الجزيرة,,"MQFP+3WX, Al Jazirah, Riyadh 14251",School,24.6727438,46.7870573, Al Jazirah, Al Jazirah
32,,32,روضة البيان,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6753033,46.7775592, Al Safa, Al Safa
33,,33,Al Kafi Academy,,"MQGH+26W, Al Safa, Riyadh 12853",School,24.6751193,46.7777859, Al Safa, Al Safa
34,,34,مدرسة دار البيان النسائية لتحفيظ القرآن الكريم,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6751193,46.7777859, Al Safa, Al Safa
35,,35,مدرسه,,"Al Othaim Mall،, Eastern Ring Branch Rd، الربوة،، ، 7454, Riyadh 12839",Elementary school,24.6859971,46.7745717, Eastern Ring Branch Rd، الربوة،، ، 7454, Eastern Ring Branch Rd، الربوة،، ، 7454
36,,36,Rabia ibn Salamah Elementary School,,"No. 7, Al Jazirah, Riyadh 14252",Educational institution,24.6738517,46.7894493, Al Jazirah, Al Jazirah
37,,37,مدارس مهارات التعليم العالمية,,"Prince Mouteeb Ibn Abd Al Aziz, Ar Rabwah, Riyadh 12839",School,24.6814521,46.768435, Ar Rabwah, Ar Rabwah
38,,38,Al Anbari Middle School,,"3410 ذعار بن ربيعان،, Ar Rawabi, Riyadh 14215",School,24.6863978,46.7871904, Ar Rawabi, Ar Rawabi
39,,39,روضة البيان,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6753033,46.7775592, Al Safa, Al Safa
40,,40,Sehab Al Elem Int'l Schools مدارس سحاب العلم العالمية,,"RQ2R+R25, Al Muqdah, Al Yarmuk, Riyadh 13251",School,24.8020116,46.7898171, Al Muqdah, Al Muqdah
41,,41,Al Kafi Academy,,"MQGH+26W, Al Safa, Riyadh 12853",School,24.6751193,46.7777859, Al Safa, Al Safa
42,,42,مدرسة دار البيان النسائية لتحفيظ القرآن الكريم,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6751193,46.7777859, Al Safa, Al Safa
43,,43,مدرسه,,"Al Othaim Mall،, Eastern Ring Branch Rd، الربوة،، ، 7454, Riyadh 12839",Elementary school,24.6859971,46.7745717, Eastern Ring Branch Rd، الربوة،، ، 7454, Eastern Ring Branch Rd، الربوة،، ، 7454
44,,44,مدرسة,,"JQG3+9XF, Abi Hafs Al Baghdadi, Al Khalidiyyah, Riyadh 12874",School,24.6259415,46.7546132, Abi Hafs Al Baghdadi, Abi Hafs Al Baghdadi
45,,45,روضة البيان,,"4994 Eastern Ring Branch Rd, Al Safa, Riyadh 12853",School,24.6753033,46.7775592, Al Safa, Al Safa
46,,46,AlEhsan Girls' Schools,,"MRF5+V34, Al Mubarak Ibn Fadalah, Al Fayha, Riyadh 14254",Private educational institution,24.6746495,46.8074014, Al Mubarak Ibn Fadalah, Al Mubarak Ibn Fadalah
47,,47,AlEhsan Girls' Schools,,"MRF5+V34, Al Mubarak Ibn Fadalah, Al Fayha, Riyadh 14254",Private educational institution,24.6746495,46.8074014, Al Mubarak Ibn Fadalah, Al Mubarak Ibn Fadalah
48,,48,School,,"حي, 6841 الحسن بن الفحام, Al Fayha, Riyadh 14254",School,24.6754633,46.8141158, 6841 الحسن بن الفحام, 6841 الحسن بن الفحام
49,,49,AlEhsan Primary School,,"MRF5+HX3, Talat At Timyat, Al Fayha, Riyadh 14254",School,24.673891,46.8096121, Talat At Timyat, Talat At Timyat
50,,50,Madras civil charity - the medium section,,"MRF4+C42, Al Farain, Al Fayha, Riyadh 14254",School,24.6735216,46.8049654, Al Farain, Al Farain
51,,51,ذاكر,,"Al Fayha، 3901 البيان، 7450, Riyadh 14254",High school,24.6809558,46.8143711, Riyadh 14254, Riyadh 14254
52,,52,Albaiareq School,,"Jalawi Ibn Abdul Muhsin, Ar Rawabi, Riyadh 42421",School,24.6924438,46.8064284, Ar Rawabi, Ar Rawabi
53,,53,Banoo Iqraa International School Al Riyadh,,"7668 Al Iqtisad Al Fayha Riyadh 14253 3413 Al Iqtisad, 3413, Al Fayha, Riyadh 14253",School,24.6830733,46.8096169, 3413, 3413
54,,54,المدرسة الإبتدائية ثمانية وعشرون بنات,,"3329, Al Jazirah, Riyadh 14261",School,24.6579004,46.7974664, Al Jazirah, Al Jazirah
55,,55,مدرسة الكوانين الشرفاء,,"RHOC3297، 8243 Adamnahuri, Al Olaya، 3297, Riyadh 12333",Middle school,24.7080642,46.6665774, Al Olaya، 3297, Al Olaya، 3297
56,,56,Bishr Bin Al Walid Elementary School for Boys,,"JGJM+MV4, Dhahrat Laban, Riyadh 13784",Elementary school,24.6316295,46.5344032, Dhahrat Laban, Dhahrat Laban
57,,57,Elementary Muthanna bin Haritha,,"PJ5M+G7P, Al Raed, Riyadh 12356",Elementary school,24.70885,46.6328926, Al Raed, Al Raed
58,,58,مدرسة قمة التربية الأهلية,,"Al Azuli, King Fahd, Riyadh 12271",School,24.7329498,46.6677519, King Fahd, King Fahd
59,,59,مدرسة,,"PMC2+JVX، الفكر, Ar Rahmaniyyah, Riyadh 12344",School,24.7216076,46.6519499, Ar Rahmaniyyah, Ar Rahmaniyyah
60,,60,مدينة الرياض,,"PM7G+C4F, Al Olaya, Riyadh 12251",Primary school,24.7135517,46.674998, Al Olaya, Al Olaya
61,,61,مدارس المتقدمة الاهلية والعالمية - مجمع التضامن,,"Ulaishah, Riyadh 12742",School,24.6382103,46.6915261, Riyadh 12742, Riyadh 12742
62,,62,دار ابناء عامر النهدي النسائية,,"JHFF+Q3J، شارع شقراء، ظهرة لبن،, Riyadh 13781",School,24.6244637,46.5723485, Riyadh 13781, Riyadh 13781
63,,63,مدرسة الوليد بن عمارة الإبتدائية,,"5017 سلطانه, Dhahrat Laban, Riyadh 13781",School,24.6261549,46.5736006, Dhahrat Laban, Dhahrat Laban
64,,64,المدرسة الإبتدائية 399 بنات,,"Dhahrat Laban، 4038 عنيزة، 7153, Riyadh 13781",Elementary school,24.6275239,46.5638187, Riyadh 13781, Riyadh 13781
65,,65,روضة الثامن والسبعون ومجمع تعليمي كامل ابتدائي ومتوسط وثانوي,,"4077-4103 عنيزة, Dhahrat Laban, Riyadh 13781",School,24.6275239,46.5638187, Dhahrat Laban, Dhahrat Laban
66,,66,Elementary school safe girl Arqam,,"6810, Dhahrat Laban, Riyadh 13781",School,24.6251618,46.5689582, Dhahrat Laban, Dhahrat Laban
67,,67,المناهج المطورة,,"القوز, Dhahrat Laban, Riyadh 13782",School,24.6344961,46.5607635, Dhahrat Laban, Dhahrat Laban
68,,68,School of the Nation's Leaders,,"Western Ring Rd, Dhahrat Laban, Riyadh 13782",Elementary school,24.638239,46.5697121, Dhahrat Laban, Dhahrat Laban
69,,69,School of the Nation's Leaders,,"Western Ring Rd, Dhahrat Laban, Riyadh 13782",Elementary school,24.6382442,46.5697121, Dhahrat Laban, Dhahrat Laban
70,,70,ثانوية الشعلة الأهلية,,"MPGC+G6G، Suhail Ibn Amr, Ad Dhubbat, Riyadh 12625",High school,24.6763109,46.7202937, Ad Dhubbat, Ad Dhubbat
71,,71,wadi laban,,"8409 Asir St, 8409, Dhahrat Laban, 4077, Riyadh 13782",School,24.6393377,46.564488, 8409, 8409
72,,72,السويدي,,"4019 غزة, Dhahrat Laban، 8586, Riyadh 13782",Primary school,24.6410433,46.564103, Dhahrat Laban، 8586, Dhahrat Laban، 8586
73,,73,المدرسة الابتدائية 308 (بنات),,"مخطط مدرسة بنات، 4258 Asir St, Dhahrat Laban, Riyadh 13782",School,24.6419142,46.5659183, Dhahrat Laban, Dhahrat Laban
74,,74,المدرسة الإبتدائية 399 بنات,,"Dhahrat Laban، 4038 عنيزة، 7153, Riyadh 13781",Elementary school,24.6275239,46.5638187, Riyadh 13781, Riyadh 13781
75,,75,المناهج المطورة,,"القوز, Dhahrat Laban, Riyadh 13782",School,24.6344961,46.5607635, Dhahrat Laban, Dhahrat Laban
76,,76,Alshou'la Schools For Boys,,"MPGC+66H, Al Farazdaq St, Ad Dhubbat, Riyadh 12625",School,24.675563,46.7203049, Al Farazdaq St, Al Farazdaq St
77,,77,Om Kaab Quraan learning school,,"4511 ضمد, Dhahrat Laban, Riyadh 13782",School,24.6369059,46.569117, Dhahrat Laban, Dhahrat Laban
78,,78,مدارس المتقدمة الأهلية - مجمع المطورون,,"3754 Lahor 8616, Riyadh 13782",Private educational institution,24.6413959,46.5612845, Riyadh 13782, Riyadh 13782
79,,79,مدارس العلا العربية الاهلية,,"4250 Hamzah Ibn Abdul Mutalib, 6647, Alhazm, Riyadh 14964",Private educational institution,24.5380308,46.657397, 6647, 6647
80,,80,Wahat Al-Ula International Schools,,"Al Takhassousi, Al Mutamarat، 8135 الفضل العامري, Riyadh",School,24.6757325,46.6864973, Al Mutamarat، 8135 الفضل العامري, Al Mutamarat، 8135 الفضل العامري
81,,81,مدارس المتقدمة الأهلية - مجمع المطورون,,"3754 Lahor 8616, Riyadh 13782",Private educational institution,24.6413959,46.5612845, Riyadh 13782, Riyadh 13782
82,,82,مدارس العلا الاهلية,,"4486 Hamzah Ibn Abdul Mutalib, Alhazm, Riyadh 14964",Private educational institution,24.5385375,46.6575401, Alhazm, Alhazm
83,,83,مدرسة,,"JH3W+226, Aluraija Al Gharbiyah, Riyadh 12966",Primary school,24.6025451,46.5947111, Aluraija Al Gharbiyah, Aluraija Al Gharbiyah
84,,84,Al-Alson International School,,"Makkah Al Mukarramah Rd, Al Olaya, Riyadh 12611",School,24.6820627,46.6990628, Al Olaya, Al Olaya
85,,85,مجمع مدارس بنات حي التعاون ثانوي متوسط ابتدائي تمهيدي,,"7886 Ubhur, At Taawun, Riyadh 12478",School,24.7781749,46.7042737, At Taawun, At Taawun
86,,86,مدرسة,,"PMC2+JVX، الفكر, Ar Rahmaniyyah, Riyadh 12344",School,24.7216076,46.6519499, Ar Rahmaniyyah, Ar Rahmaniyyah
87,,87,The Learning Caravan International School,,"MMMM+6J2, Al Khawarzami St, Al Olaya, Riyadh 12311",International school,24.6830157,46.6837265, Al Khawarzami St, Al Khawarzami St
88,,88,مدارس رواد العلا,,"Al Bahar Al Arabi, Ishbiliyah, Riyadh 13226",Educational institution,24.7998518,46.7955646, Ishbiliyah, Ishbiliyah
