,District Name,Coordinates,address,url,latitude,longitude
54,Al Maizilah,"24.7918029, 46.7965327",0,"https://www.google.com/maps/place/Al+Maizilah,+Riyadh/@24.7918029,46.7965327,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2faaba5c7b81c7:0xb21a8232007ec502!8m2!3d24.7934171!4d46.8502929!16s%2Fg%2F11btwptmy9?entry=ttu",24.7918029,46.7965327
56,Al Nadwa,"24.8003229, 46.8535166",0,"https://www.google.com/maps/place/Al+Nadwa,+Riyadh/@24.8003229,46.8535166,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2fab170fbd57bd:0x8eba692b68ef1286!8m2!3d24.8033292!4d46.894362!16s%2Fg%2F1ptvt8h9t?entry=ttu",24.8003229,46.8535166
58,Ar Rabwah,"24.6937822, 46.7341259",0,"https://www.google.com/maps/place/Ar+Rabwah,+Riyadh/@24.6937822,46.7341259,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f06ac5a13f387:0x5f47c5a7841222a5!8m2!3d24.6915715!4d46.7639686!16s%2Fg%2F1tywwf8_?entry=ttu",24.6937822,46.7341259
60,Al Manar,"24.7253319, 46.7766591",0,"https://www.google.com/maps/place/Al+Manar,+Riyadh/@24.7253319,46.7766591,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f00c4bc60ee31:0xa289c35f10ae17d9!8m2!3d24.7255028!4d46.796205!16s%2Fg%2F11dxfbjkhs?entry=ttu",24.7253319,46.7766591
62,An Nasim Al Gharbi,"24.7256613, 46.7827674",0,"https://www.google.com/maps/place/An+Nasim+Al+Gharbi,+Riyadh/@24.7256613,46.7827674,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2f00aa22386807:0x31730210cae750c5!8m2!3d24.7235642!4d46.8285887!16s%2Fg%2F1v7tjvc0?entry=ttu",24.7256613,46.7827674
64,An Nasim Ash Sharqi,"24.7390309, 46.8037645",0,"https://www.google.com/maps/place/An+Nasim+Ash+Sharqi,+Riyadh/@24.7390309,46.8037645,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2faa3d59f9cf8d:0x48a47dd71ebfc54d!8m2!3d24.7426943!4d46.8407774!16s%2Fg%2F1tdvycg_?entry=ttu",24.7390309,46.8037645
66,Ar Rimayah,"24.7703442, 46.832442",0,"https://www.google.com/maps/place/Ar+Rimayah,+Riyadh/@24.7703442,46.832442,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2fabadcd939bcf:0x529c445935e45545!8m2!3d24.766369!4d46.8653521!16s%2Fg%2F1thkvr9j?entry=ttu",24.7703442,46.832442
68,Ar Rawabi,"24.6960639, 46.7709625",0,"https://www.google.com/maps/place/Ar+Rawabi,+Riyadh/@24.6960639,46.7709625,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f07241d57dad1:0xcf0d859cfb84ff45!8m2!3d24.6957529!4d46.7927788!16s%2Fg%2F1tg7_yw5?entry=ttu",24.6960639,46.7709625
69,حي السعادة,"24.6855992, 46.834467",MRMR+R2G، السعادة، الرياض 14256،,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B3%D8%B9%D8%A7%D8%AF%D8%A9%E2%80%AD/@24.6855992,46.834467,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNiz2LnYp9iv2KkgLCBSaXlhZGg!3m6!1s0x3e2fa9df6bc38ce9:0x7638f9b1d4224179!8m2!3d24.6855992!4d46.8347647!15sChzYrdmKINin2YTYs9i52KfYr9ipICwgUml5YWRoWhwiGtit2Yog2KfZhNiz2LnYp9iv2Kkgcml5YWRokgESYXBhcnRtZW50X2J1aWxkaW5nmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5zZVhCdGNHaG5SUkFC4AEA!16s%2Fg%2F11t7zg1lq7?entry=ttu",24.6855992,46.834467
71,Khashm Al Aan,"24.6657763, 46.8491465",0,"https://www.google.com/maps/place/Khashm+Al+Aan,+Riyadh/@24.6657763,46.8491465,12z/data=!3m1!4b1!4m6!3m5!1s0x3e2fa8fc4464e58f:0xa4684e96e8ab08b6!8m2!3d24.6687903!4d46.9255944!16s%2Fg%2F1tmk6zpq?entry=ttu",24.6657763,46.8491465
